neighborhood_group,geography_type,profile_neighborhood_group,total_pop,share_below_50pct_poverty_threshold,share_below_100pct_poverty_threshold,share_commute_car_truck_van,share_commute_public_transit,share_commute_bicycle,share_commute_walked,share_commute_other_modes,share_commute_worked_from_home,share_hh_income_100k_to_199k,share_hh_income_200k_plus
Crawford-Roberts,neighborhood group,Central Business District - Crawford Roberts,7354.0,0.098888336,0.233117637,0.268976057,0.118186449,0.012226184,0.423586347,0.013754457,0.163270504,0.205170068,0.131972789
Duquesne Heights,neighborhood,Duquesne Heights,2276.0,0.019332162,0.084797891,0.720897616,0.016129032,0.021037868,0.007713885,0.017531557,0.216690042,0.28271028,0.153426791
East Allegheny,neighborhood group,East Allegheny-North Shore,1924.0,0.137733888,0.258316008,0.432349949,0.146490336,0.0508647,0.126144456,0.032553408,0.211597152,0.127092846,0.105022831
East Carnegie,neighborhood group,East Carnegie - Oakwood,1560.0,0.036018337,0.122462344,0.738589212,0.059474412,0.0,0.035961272,0.0,0.165975104,0.157543391,0.013351135
East Hills,neighborhood,East Hills,3505.0,0.328673324,0.486733238,0.703703704,0.155092593,0.0,0.0,0.0,0.141203704,0.140677966,0.012711864
East Liberty,neighborhood,East Liberty,6013.0,0.068236507,0.131488484,0.450708137,0.27825604,0.018605943,0.129408498,0.0,0.123021383,0.123275345,0.081583683
Elliott,neighborhood group,West End - Elliott,2712.0,0.103268945,0.180534918,0.80942623,0.06489071,0.0,0.017759563,0.0,0.107923497,0.089530686,0.02599278
Esplen,neighborhood group,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,8683.0,0.107681677,0.17574571,0.706556503,0.123933902,0.0,0.028251599,0.02478678,0.116471215,0.181355932,0.02740113
Fairywood,neighborhood group,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,8683.0,0.107681677,0.17574571,0.706556503,0.123933902,0.0,0.028251599,0.02478678,0.116471215,0.181355932,0.02740113
Fineview,neighborhood,Fineview,1268.0,0.094637224,0.208990536,0.484257871,0.35832084,0.008995502,0.028485757,0.023988006,0.095952024,0.281967213,0.031147541
Friendship,neighborhood,Friendship,2034.0,0.083867785,0.120374938,0.497113997,0.207792208,0.058441558,0.129148629,0.0,0.107503608,0.091713596,0.054706356
Garfield,neighborhood,Garfield,4000.0,0.08125,0.202,0.442190669,0.152129817,0.04969574,0.105476673,0.028904665,0.221602434,0.24100514,0.038263849
Glen Hazel,neighborhood group,Hazelwood-Glen Hazel -New Homestead-Hays,5697.0,0.085729887,0.315617037,0.676130389,0.142481598,0.012618297,0.05573081,0.014195584,0.098843323,0.147731835,0.015254918
Greenfield,neighborhood,Greenfield,7344.0,0.055827887,0.10130719,0.591791595,0.184811993,0.004423691,0.030720079,0.009338904,0.178913738,0.258652095,0.061150143
Hays,neighborhood group,Hazelwood-Glen Hazel -New Homestead-Hays,5697.0,0.085729887,0.315617037,0.676130389,0.142481598,0.012618297,0.05573081,0.014195584,0.098843323,0.147731835,0.015254918
Hazelwood,neighborhood group,Hazelwood-Glen Hazel -New Homestead-Hays,5697.0,0.085729887,0.315617037,0.676130389,0.142481598,0.012618297,0.05573081,0.014195584,0.098843323,0.147731835,0.015254918
Highland Park,neighborhood,Highland Park,6400.0,0.019853056,0.047678599,0.4840465,0.110561464,0.01360376,0.076923077,0.014098442,0.300766757,0.354454809,0.170151174
Homewood North,neighborhood group,Homewood North - Homewood West,3229.0,0.170440252,0.316666667,0.737704918,0.183970856,0.0,0.058287796,0.003642987,0.016393443,0.060539752,0.016046681
Homewood South,neighborhood,Homewood South,2177.0,0.056040423,0.363344051,0.703065134,0.199233716,0.0,0.078544061,0.0,0.019157088,0.047974414,0.0
Homewood West,neighborhood group,Homewood North - Homewood West,3229.0,0.170440252,0.316666667,0.737704918,0.183970856,0.0,0.058287796,0.003642987,0.016393443,0.060539752,0.016046681
Knoxville,neighborhood,Knoxville,4188.0,0.101719198,0.223973257,0.606892838,0.231017771,0.0,0.113085622,0.0,0.04900377,0.156947444,0.0
Larimer,neighborhood,Larimer,1574.0,0.150552486,0.410911602,0.616935484,0.225806452,0.0,0.018145161,0.074596774,0.064516129,0.077181208,0.020134228
Lincoln Place,neighborhood,Lincoln Place,3272.0,0.065563725,0.140931373,0.778705637,0.048016701,0.0,0.0,0.016701461,0.1565762,0.290764791,0.021645022
Lincoln-Lemington-Belmar,neighborhood,Lincoln-Lemington-Belmar,4485.0,0.104883329,0.326196777,0.559299191,0.258086253,0.016172507,0.004043127,0.0,0.162398922,0.062643678,0.033908046
Lower Lawrenceville,neighborhood,Lower Lawrenceville,2448.0,0.093545752,0.145424837,0.578366446,0.099337748,0.004415011,0.062913907,0.0,0.254966887,0.341772152,0.134317862
Manchester,neighborhood group,Manchester-California-Kirkbride,3011.0,0.082419408,0.16184779,0.582256169,0.060517039,0.020564042,0.142185664,0.010575793,0.183901293,0.311551155,0.072607261
Marshall-Shadeland,neighborhood,Marshall-Shadeland,4365.0,0.110904872,0.235266821,0.546860356,0.275538894,0.0,0.026710403,0.0,0.150890347,0.160259611,0.014977534
Middle Hill,neighborhood,Middle Hill,1561.0,0.208226221,0.391388175,0.479757085,0.285425101,0.0,0.194331984,0.0,0.04048583,0.0220022,0.01320132
Morningside,neighborhood,Morningside,3301.0,0.006402439,0.036585366,0.644496763,0.084167157,0.006474397,0.015303119,0.028840494,0.220718069,0.291749175,0.048184818
Mount Washington,neighborhood,Mount Washington,8596.0,0.058933147,0.119030981,0.689010407,0.101781619,0.004409949,0.036337978,0.005291939,0.163168107,0.253106606,0.071506431
Mt. Oliver,neighborhood group,Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair,2902.0,0.188490696,0.228118539,0.762117823,0.105891126,0.0,0.0,0.008948546,0.123042506,0.136752137,0.068376068
New Homestead,neighborhood group,Hazelwood-Glen Hazel -New Homestead-Hays,5697.0,0.085729887,0.315617037,0.676130389,0.142481598,0.012618297,0.05573081,0.014195584,0.098843323,0.147731835,0.015254918
North Oakland,neighborhood,North Oakland,9779.0,0.227572721,0.34905891,0.195187166,0.122994652,0.012299465,0.491176471,0.037433155,0.140909091,0.107417775,0.090272918
North Shore,neighborhood group,East Allegheny-North Shore,1924.0,0.137733888,0.258316008,0.432349949,0.146490336,0.0508647,0.126144456,0.032553408,0.211597152,0.127092846,0.105022831
Northview Heights,neighborhood group,Northview Heights - Summer Hill,2996.0,0.10916442,0.424191375,0.764837626,0.150055991,0.0,0.010078387,0.0,0.075027996,0.156374502,0.056772908
