finding_id,route_code,route_label,route_kind,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-O12,O12,O12,commuter_bus,Remaining commuter routes; step 7,O12 - MCKNIGHT FLYER,"Central Business District, Crawford-Roberts, Strip District, North Shore, Perry North, Summer Hill","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,5256,5256,13.9,731,72.2,3795,7.9,415,2.8,147,40.6,1088,11.3,589,59.3,1877,7.1,225,1440.3,321.3,394.3,-77.7,-72.6
FIND-20260324-O5,O5,O5,commuter_bus,Very low efficiency (<100 weekday riders); step 1,O5 - THOMPSON RUN FLYER VIA 279,"Perry North, Summer Hill, Central Business District, Crawford-Roberts, Strip District, North Shore","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,5256,5256,13.9,731,72.2,3795,7.9,415,2.8,147,40.6,1088,11.3,589,59.3,1877,7.1,225,118.0,31.4,44.2,-73.4,-62.5
FIND-20260324-P10,P10,P10,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),P10 - ALLEGHENY VALLEY FLYER,"Larimer, Homewood West, Central Business District, Point Breeze North, Shadyside, East Liberty, Lincoln-Lemington-Belmar, Strip District, Crawford-Roberts, Highland Park, Point Breeze, Bloomfield, Friendship, Homewood South, Lower Lawrenceville, Polish Hill, Bedford Dwellings","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,54200,54200,34.1,18482,53.0,28726,6.2,3360,4.3,2331,26.7,7726,20.2,10693,51.7,16445,19.5,6203,698.1,213.0,221.3,-69.5,-68.3
FIND-20260324-P12,P12,P12,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),P12 - HOLIDAY PARK FLYER,"Central Business District, Crawford-Roberts, East Liberty, Shadyside, Strip District, Homewood West, Point Breeze North, Bloomfield, Friendship, Homewood South, Larimer, Lower Lawrenceville, Polish Hill, Bedford Dwellings, Point Breeze, Bluff","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,49974,49974,31.4,15692,55.1,27536,6.7,3348,4.0,1999,25.8,6298,22.0,9504,49.3,13911,19.0,5361,1202.6,251.6,292.6,-79.1,-75.7
FIND-20260324-P13,P13,P13,commuter_bus,Very low efficiency (<100 weekday riders); step 1,P13 - MOUNT ROYAL FLYER,"Central Business District, North Shore, Allegheny Center, East Allegheny, Strip District","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,1471,1471,1.0,15,80.8,1189,15.6,229,3.0,44,59.5,635,8.7,128,47.5,551,3.9,45,312.6,75.4,73.6,-75.9,-76.4
FIND-20260324-P16,P16,P16,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),P16 - PENN HILLS FLYER,"Central Business District, Crawford-Roberts, East Liberty, Shadyside, Strip District, Homewood West, Point Breeze North, Bloomfield, Bluff, Friendship, Homewood South, Larimer, Lower Lawrenceville, Polish Hill, Bedford Dwellings, Point Breeze","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,49974,49974,31.4,15692,55.1,27536,6.7,3348,4.0,1999,25.8,6298,22.0,9504,49.3,13911,19.0,5361,897.2,260.1,321.8,-71.0,-64.1
FIND-20260324-P17,P17,P17,commuter_bus,Remaining commuter routes; step 7,P17 - LINCOLN PARK FLYER,"Lincoln-Lemington-Belmar, Larimer, Homewood West, East Liberty, Homewood North, Shadyside, Central Business District, Point Breeze North, Strip District, Crawford-Roberts, Point Breeze, Bloomfield, Friendship, Lower Lawrenceville, Polish Hill, Bedford Dwellings, East Hills","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,49128,49128,36.3,17833,51.5,25301,6.4,3144,4.3,2113,25.4,6622,22.5,10771,52.0,14616,19.9,5593,387.1,149.3,348.1,-61.4,-10.1
FIND-20260324-P67,P67,P67,commuter_bus,Substantial service duplication/overlap; step 2,P67 - MONROEVILLE FLYER,"Central Business District, Crawford-Roberts, East Liberty, Shadyside, Strip District, Homewood West, Point Breeze North, Bloomfield, Bluff, Friendship, Homewood South, Larimer, Lower Lawrenceville, Polish Hill, Bedford Dwellings, Point Breeze","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,49974,49974,31.4,15692,55.1,27536,6.7,3348,4.0,1999,25.8,6298,22.0,9504,49.3,13911,19.0,5361,496.3,147.1,141.0,-70.4,-71.6
FIND-20260324-P69,P69,P69,commuter_bus,Remaining commuter routes; step 7,P69 - TRAFFORD FLYER,"Central Business District, East Liberty, Shadyside, Strip District, Crawford-Roberts, Homewood West, Point Breeze North, Bloomfield, Friendship, Homewood South, Larimer, Lower Lawrenceville, Polish Hill, Bedford Dwellings, Point Breeze","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,43315,43315,31.8,13774,54.4,23563,7.0,3032,4.0,1733,25.9,6239,20.5,8689,51.6,13562,19.7,5178,259.0,118.7,170.3,-54.2,-34.2
FIND-20260324-P7,P7,P7,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),P7 - MCKEESPORT FLYER,"Central Business District, East Liberty, Shadyside, Strip District, Crawford-Roberts, Homewood West, Point Breeze North, Bloomfield, Friendship, Homewood South, Larimer, Lower Lawrenceville, Polish Hill, Bedford Dwellings, Point Breeze","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,43315,43315,31.8,13774,54.4,23563,7.0,3032,4.0,1733,25.9,6239,20.5,8689,51.6,13562,19.7,5178,736.1,233.3,276.5,-68.3,-62.4
