index,neighborhood_group,geography_type,total_pop,black_alone_pop,white_alone_pop,asian_alone_pop,other_single_race_alone_pop,two_or_more_race_pop,black_alone_share,white_alone_share,asian_alone_share,other_single_race_alone_share,two_or_more_race_share,group_quarters_pop,group_quarters_share,hispanic_pop,hispanic_share,pop_under_18,pop_age_18_24,pop_age_25_44,pop_age_45_64,pop_age_65_plus,share_under_18,share_age_18_24,share_age_25_44,share_age_45_64,share_age_65_plus,pop_age_3_plus,enrolled_k12_pop,enrolled_undergrad_or_grad_pop,enrolled_undergrad_pop,enrolled_grad_pop,enrolled_k12_share_of_3plus,enrolled_undergrad_or_grad_share_of_3plus,enrolled_undergrad_share_of_3plus,enrolled_grad_share_of_3plus,foreign_born_pop,foreign_born_share,pop_1yr_and_older,different_house_1yr_ago_pop,lived_outside_msa_1yr_ago_pop,lived_abroad_1yr_ago_pop,different_house_1yr_ago_share,lived_outside_msa_1yr_ago_share,lived_abroad_1yr_ago_share,households_total,households_families,households_married_couple_family,households_other_family,households_male_no_spouse,households_female_no_spouse,households_nonfamily,households_living_alone,households_not_living_alone,share_households_families,share_households_married_couple_family,share_households_other_family,share_households_male_no_spouse,share_households_female_no_spouse,share_households_nonfamily,share_households_living_alone,share_households_not_living_alone,housing_units_total,housing_units_occupied,housing_units_vacant,share_housing_occupied,share_housing_vacant,occupied_housing_units_total,owner_occupied_housing_units,renter_occupied_housing_units,share_owner_occupied,share_renter_occupied,pop_16_plus,labor_force_pop,civilian_labor_force_pop,employed_pop,unemployed_pop,armed_forces_pop,not_in_labor_force_pop,share_in_labor_force,share_civilian_labor_force,share_employed,share_unemployed,share_armed_forces,share_not_in_labor_force,poverty_status_determined_pop,pop_below_50pct_poverty_threshold,pop_below_100pct_poverty_threshold,share_below_50pct_poverty_threshold,share_below_100pct_poverty_threshold,pop_25_plus,educ_less_than_hs_pop,educ_hs_grad_includes_ged_pop,educ_some_college_includes_assoc_pop,educ_bachelors_or_higher_pop,share_less_than_hs,share_hs_grad_includes_ged,share_some_college_includes_assoc,share_bachelors_or_higher,workers_16_plus,commute_car_truck_van_pop,commute_public_transit_pop,commute_bicycle_pop,commute_walked_pop,commute_other_modes_pop,commute_worked_from_home_pop,share_commute_car_truck_van,share_commute_public_transit,share_commute_bicycle,share_commute_walked,share_commute_other_modes,share_commute_worked_from_home,income_households_total,hh_income_under_25k,hh_income_25k_to_49k,hh_income_50k_to_74k,hh_income_75k_to_99k,hh_income_100k_to_199k,hh_income_200k_plus,share_hh_income_under_25k,share_hh_income_25k_to_49k,share_hh_income_50k_to_74k,share_hh_income_75k_to_99k,share_hh_income_100k_to_199k,share_hh_income_200k_plus,veterans_total,veterans_gulf_war_2001_later,veterans_gulf_war_1990_2001,veterans_vietnam_era,veterans_korean_war,veterans_world_war_ii,veterans_other_periods,share_veterans_gulf_war_2001_later,share_veterans_gulf_war_1990_2001,share_veterans_vietnam_era,share_veterans_korean_war,share_veterans_world_war_ii,share_veterans_other_periods
23,Crafton Heights,neighborhood,3951,2190,1352,5,45,359,0.554290053,0.34219185,0.001265502,0.011389522,0.090863073,3,0.000759301,16,0.004049608,1107,264,1162,953,465,0.280182232,0.066818527,0.294102759,0.241204758,0.117691724,3744,820,163,143,20,0.219017094,0.043536325,0.038194444,0.00534188,35,0.008858517,3890,348,1,0,0.089460154,0.000257069,0,1655,996,572,424,45,379,659,555,104,0.601812689,0.345619335,0.256193353,0.027190332,0.229003021,0.398187311,0.335347432,0.062839879,1816,1655,161,0.911343612,0.088656388,1655,1044,611,0.63081571,0.36918429,2959,2087,2087,1991,96,0,872,0.705305847,0.705305847,0.672862454,0.032443393,0,0.294694153,3951,279,1047,0.070615034,0.264996203,2580,165,737,922,756,0.063953488,0.285658915,0.357364341,0.293023256,1873,1367,252,0,80,23,151,0.729845168,0.134543513,0,0.042712226,0.012279765,0.080619327,1655,532,361,226,234,242,60,0.321450151,0.218126888,0.136555891,0.141389728,0.146223565,0.036253776,186,43,28,38,15,0,62,0.231182796,0.150537634,0.204301075,0.080645161,0,0.333333333
24,Duquesne Heights,neighborhood,2276,2135,0,65,13,63,0.938049209,0,0.028558875,0.005711775,0.027680141,0,0,39,0.017135325,163,73,895,518,627,0.071616872,0.032073814,0.393233743,0.227592267,0.275483304,2223,89,101,25,76,0.040035987,0.045434098,0.011246064,0.034188034,52,0.0228471,2266,493,187,0,0.217563989,0.082524272,0,1284,564,414,150,61,89,720,581,139,0.439252336,0.322429907,0.11682243,0.047507788,0.069314642,0.560747664,0.452492212,0.108255452,1459,1284,175,0.880054832,0.119945168,1284,753,531,0.586448598,0.413551402,2123,1460,1460,1432,28,0,663,0.687706076,0.687706076,0.674517193,0.013188884,0,0.312293924,2276,44,193,0.019332162,0.084797891,2040,97,393,492,1058,0.04754902,0.192647059,0.241176471,0.518627451,1426,1028,23,30,11,25,309,0.720897616,0.016129032,0.021037868,0.007713885,0.017531557,0.216690042,1284,221,259,99,145,363,197,0.17211838,0.201713396,0.077102804,0.112928349,0.28271028,0.153426791,156,56,0,13,58,0,29,0.358974359,0,0.083333333,0.371794872,0,0.185897436
25,East Allegheny-North Shore,neighborhood group,1924,1162,533,21,82,126,0.603950104,0.277027027,0.010914761,0.042619543,0.065488565,33,0.017151767,62,0.032224532,118,126,821,588,271,0.061330561,0.065488565,0.426715177,0.305613306,0.140852391,1879,73,87,78,9,0.038850452,0.046301224,0.041511442,0.004789782,137,0.071205821,1924,214,43,0,0.111226611,0.022349272,0,1314,235,142,93,46,47,1079,885,194,0.178843227,0.108066971,0.070776256,0.03500761,0.035768645,0.821156773,0.673515982,0.147640791,1585,1314,271,0.829022082,0.170977918,1314,459,855,0.349315068,0.650684932,1806,1097,1097,1004,93,0,709,0.607419712,0.607419712,0.555924695,0.051495017,0,0.392580288,1924,265,497,0.137733888,0.258316008,1680,278,357,294,751,0.16547619,0.2125,0.175,0.44702381,983,425,144,50,124,32,208,0.432349949,0.146490336,0.0508647,0.126144456,0.032553408,0.211597152,1314,393,327,177,112,167,138,0.299086758,0.248858447,0.134703196,0.085235921,0.127092846,0.105022831,161,50,13,54,0,16,28,0.310559006,0.080745342,0.335403727,0,0.099378882,0.173913043
26,East Carnegie - Oakwood,neighborhood group,1560,1246,63,65,30,156,0.798717949,0.040384615,0.041666667,0.019230769,0.1,56,0.035897436,55,0.03525641,327,75,448,395,315,0.209615385,0.048076923,0.287179487,0.253205128,0.201923077,1503,201,110,107,3,0.133732535,0.073186959,0.071190951,0.001996008,152,0.097435897,1553,85,67,43,0.054732775,0.043142305,0.027688345,749,385,275,110,58,52,364,317,47,0.514018692,0.367156208,0.146862483,0.077436582,0.069425901,0.485981308,0.423230975,0.062750334,844,749,95,0.887440758,0.112559242,749,422,327,0.563417891,0.436582109,1261,790,790,728,62,0,471,0.626486915,0.626486915,0.577319588,0.049167328,0,0.373513085,1527,55,187,0.036018337,0.122462344,1158,63,368,350,377,0.054404145,0.317789292,0.30224525,0.325561313,723,534,43,0,26,0,120,0.738589212,0.059474412,0,0.035961272,0,0.165975104,749,178,154,161,128,118,10,0.2376502,0.205607477,0.214953271,0.170894526,0.157543391,0.013351135,86,13,11,32,8,5,17,0.151162791,0.127906977,0.372093023,0.093023256,0.058139535,0.197674419
27,East Hills,neighborhood,3505,309,3172,0,0,24,0.088159772,0.904992867,0,0,0.006847361,1,0.000285307,32,0.009129815,1278,339,732,730,426,0.364621969,0.096718973,0.208844508,0.208273894,0.121540656,3295,1029,194,100,94,0.312291351,0.058877086,0.030349014,0.028528073,41,0.011697575,3488,295,1,0,0.084575688,0.000286697,0,1180,669,230,439,83,356,511,475,36,0.566949153,0.194915254,0.372033898,0.070338983,0.301694915,0.433050847,0.402542373,0.030508475,1477,1180,297,0.798916723,0.201083277,1180,486,694,0.411864407,0.588135593,2268,1043,1043,889,154,0,1225,0.459876543,0.459876543,0.391975309,0.067901235,0,0.540123457,3505,1152,1706,0.328673324,0.486733238,1888,146,784,658,300,0.077330508,0.415254237,0.348516949,0.158898305,864,608,134,0,0,0,122,0.703703704,0.155092593,0,0,0,0.141203704,1180,627,135,100,137,166,15,0.531355932,0.11440678,0.084745763,0.116101695,0.140677966,0.012711864,154,68,34,38,14,0,0,0.441558442,0.220779221,0.246753247,0.090909091,0,0
28,East Liberty,neighborhood,6013,2867,2207,541,27,371,0.476800266,0.367038084,0.089971728,0.004490271,0.061699651,262,0.04357226,192,0.031930817,889,350,2616,1394,764,0.147846333,0.058207218,0.435057376,0.231831033,0.127058041,5937,806,597,355,242,0.135758801,0.100555836,0.059794509,0.040761327,439,0.073008482,5989,944,599,100,0.157622308,0.100016697,0.016697278,3334,1062,539,523,75,448,2272,1879,393,0.318536293,0.161667666,0.156868626,0.022495501,0.134373125,0.681463707,0.563587283,0.117876425,4038,3334,704,0.825656265,0.174343735,3334,705,2629,0.211457708,0.788542292,5217,3820,3820,3643,177,0,1397,0.732221583,0.732221583,0.698294039,0.033927545,0,0.267778417,5818,397,765,0.068236507,0.131488484,4774,269,815,1099,2591,0.056346879,0.17071638,0.230205279,0.542731462,3601,1623,1002,67,466,0,443,0.450708137,0.27825604,0.018605943,0.129408498,0,0.123021383,3334,769,907,712,263,411,272,0.230653869,0.272045591,0.213557289,0.078884223,0.123275345,0.081583683,310,29,39,68,64,0,110,0.093548387,0.125806452,0.219354839,0.206451613,0,0.35483871
29,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,neighborhood group,8683,3764,3731,380,40,768,0.433490729,0.429690199,0.043763676,0.004606703,0.088448693,82,0.009443741,260,0.029943568,1736,680,3123,2053,1091,0.199930899,0.078313947,0.359668317,0.236439019,0.125647818,8105,1194,878,495,383,0.147316471,0.108328192,0.061073411,0.047254781,717,0.082575147,8496,1140,265,53,0.134180791,0.031191149,0.00623823,3540,2086,1364,722,139,583,1454,1147,307,0.589265537,0.385310734,0.203954802,0.039265537,0.164689266,0.410734463,0.324011299,0.086723164,4018,3540,478,0.881035341,0.118964659,3540,1930,1610,0.54519774,0.45480226,7018,4368,4338,3910,428,30,2650,0.622399544,0.618124822,0.557138786,0.060986036,0.004274722,0.377600456,8683,935,1526,0.107681677,0.17574571,6267,569,2023,1758,1917,0.090793043,0.322801979,0.280516994,0.305887985,3752,2651,465,0,106,93,437,0.706556503,0.123933902,0,0.028251599,0.02478678,0.116471215,3540,756,763,771,511,642,97,0.213559322,0.215536723,0.21779661,0.144350282,0.181355932,0.02740113,560,84,121,186,22,0,147,0.15,0.216071429,0.332142857,0.039285714,0,0.2625
30,Fineview,neighborhood,1268,578,591,0,22,77,0.455835962,0.466088328,0,0.017350158,0.060725552,0,0,47,0.037066246,240,219,485,212,112,0.189274448,0.172712934,0.382492114,0.167192429,0.088328076,1183,145,133,133,0,0.122569738,0.112426036,0.112426036,0,35,0.027602524,1227,348,48,0,0.283618582,0.039119804,0,610,346,119,227,32,195,264,171,93,0.567213115,0.195081967,0.372131148,0.052459016,0.319672131,0.432786885,0.280327869,0.152459016,705,610,95,0.865248227,0.134751773,610,256,354,0.419672131,0.580327869,1070,760,760,667,93,0,310,0.710280374,0.710280374,0.623364486,0.086915888,0,0.289719626,1268,120,265,0.094637224,0.208990536,809,28,288,278,215,0.03461063,0.355995056,0.343634116,0.265760198,667,323,239,6,19,16,64,0.484257871,0.35832084,0.008995502,0.028485757,0.023988006,0.095952024,610,191,177,18,33,172,19,0.313114754,0.290163934,0.029508197,0.054098361,0.281967213,0.031147541,32,0,0,22,10,0,0,0,0,0.6875,0.3125,0,0
31,Friendship,neighborhood,2034,1332,149,359,6,188,0.654867257,0.073254671,0.176499508,0.002949853,0.092428712,40,0.019665683,164,0.080629302,247,229,1178,235,145,0.121435595,0.112586037,0.579154376,0.11553589,0.071288102,1940,79,354,37,317,0.040721649,0.182474227,0.019072165,0.163402062,546,0.268436578,2034,626,352,85,0.307767945,0.173058014,0.041789577,1243,195,168,27,0,27,1048,826,222,0.15687852,0.135156879,0.021721641,0,0.021721641,0.84312148,0.664521319,0.178600161,1363,1243,120,0.911958914,0.088041086,1243,120,1123,0.096540628,0.903459372,1788,1439,1439,1406,33,0,349,0.804809843,0.804809843,0.786353468,0.018456376,0,0.195190157,2027,170,244,0.083867785,0.120374938,1558,23,122,221,1192,0.014762516,0.07830552,0.141848524,0.76508344,1386,689,288,81,179,0,149,0.497113997,0.207792208,0.058441558,0.129148629,0,0.107503608,1243,314,357,303,87,114,68,0.252614642,0.287208367,0.243765084,0.069991955,0.091713596,0.054706356,70,11,0,38,8,0,13,0.157142857,0,0.542857143,0.114285714,0,0.185714286
32,Garfield,neighborhood,4000,1132,2439,107,0,322,0.283,0.60975,0.02675,0,0.0805,7,0.00175,99,0.02475,715,387,1729,676,493,0.17875,0.09675,0.43225,0.169,0.12325,3861,527,278,197,81,0.136493136,0.072002072,0.051023051,0.020979021,183,0.04575,3945,391,100,4,0.099112801,0.025348542,0.001013942,1751,816,406,410,25,385,935,611,324,0.466019417,0.231867504,0.234151913,0.014277556,0.219874358,0.533980583,0.348943461,0.185037122,2062,1751,311,0.849175558,0.150824442,1751,783,968,0.447173044,0.552826956,3366,2386,2386,2119,267,0,980,0.708853238,0.708853238,0.6295306,0.079322638,0,0.291146762,4000,325,808,0.08125,0.202,2898,169,632,832,1265,0.05831608,0.218081435,0.287094548,0.436507937,1972,872,300,98,208,57,437,0.442190669,0.152129817,0.04969574,0.105476673,0.028904665,0.221602434,1751,424,330,238,270,422,67,0.242147344,0.188463735,0.13592233,0.154197601,0.24100514,0.038263849,205,100,24,42,11,0,28,0.487804878,0.117073171,0.204878049,0.053658537,0,0.136585366
33,Greenfield,neighborhood,7344,5926,633,232,122,431,0.806917211,0.08619281,0.031590414,0.0166122,0.058687364,0,0,434,0.059095861,1009,528,2663,1801,1343,0.137391068,0.071895425,0.362608932,0.245234205,0.18287037,7219,860,704,305,399,0.119130073,0.097520432,0.042249619,0.055270813,1016,0.138344227,7289,906,347,35,0.124296886,0.047605982,0.004801756,3843,1483,1054,429,193,236,2360,1892,468,0.385896435,0.274264897,0.111631538,0.050221181,0.061410356,0.614103565,0.492323705,0.121779859,3966,3843,123,0.968986384,0.031013616,3843,2308,1535,0.600572469,0.399427531,6414,4450,4450,4271,179,0,1964,0.693794824,0.693794824,0.665887122,0.027907702,0,0.306205176,7344,410,744,0.055827887,0.10130719,5807,365,1241,972,3229,0.062855175,0.213707594,0.167384191,0.556053039,4069,2408,752,18,125,38,728,0.591791595,0.184811993,0.004423691,0.030720079,0.009338904,0.178913738,3843,843,576,714,481,994,235,0.219359875,0.149882904,0.18579235,0.125162633,0.258652095,0.061150143,259,76,12,54,10,0,107,0.293436293,0.046332046,0.208494208,0.038610039,0,0.413127413
34,Hazelwood-Glen Hazel -New Homestead-Hays,neighborhood group,5697,3074,2002,38,48,535,0.539582236,0.351413024,0.006670177,0.008425487,0.093909075,234,0.04107425,250,0.043882745,1300,470,1221,1291,1415,0.228190276,0.082499561,0.214323328,0.226610497,0.248376338,5507,1000,97,89,8,0.181587071,0.017613946,0.016161249,0.001452697,126,0.022116904,5543,529,14,0,0.095435685,0.002525708,0,2491,1255,577,678,84,594,1236,1047,189,0.503813729,0.231633882,0.272179847,0.033721397,0.23845845,0.496186271,0.420313127,0.075873143,3012,2491,521,0.827025232,0.172974768,2491,1331,1160,0.534323565,0.465676435,4562,2319,2319,2005,314,0,2243,0.50832968,0.50832968,0.439500219,0.068829461,0,0.49167032,5494,471,1734,0.085729887,0.315617037,3927,280,1625,1036,986,0.071301248,0.413801884,0.263814617,0.251082251,1902,1286,271,24,106,27,188,0.676130389,0.142481598,0.012618297,0.05573081,0.014195584,0.098843323,2491,978,495,421,191,368,38,0.392613408,0.198715375,0.16900843,0.076676034,0.147731835,0.015254918,291,0,18,204,15,14,40,0,0.06185567,0.701030928,0.051546392,0.048109966,0.137457045
35,Highland Park,neighborhood,6400,4742,845,249,86,478,0.7409375,0.13203125,0.03890625,0.0134375,0.0746875,17,0.00265625,224,0.035,956,600,2580,1386,878,0.149375,0.09375,0.403125,0.2165625,0.1371875,6107,680,427,173,254,0.111347634,0.069919764,0.028328148,0.041591616,468,0.073125,6252,764,481,135,0.122200896,0.076935381,0.02159309,3109,1607,1294,313,63,250,1502,1144,358,0.516886459,0.416211,0.100675458,0.02026375,0.080411708,0.483113541,0.367963976,0.115149566,3448,3109,339,0.901682135,0.098317865,3109,1677,1432,0.539401737,0.460598263,5477,4169,4159,4098,61,10,1308,0.761183129,0.759357312,0.748219828,0.011137484,0.001825817,0.238816871,6397,127,305,0.019853056,0.047678599,4844,28,553,583,3680,0.005780347,0.11416185,0.120355078,0.759702725,4043,1957,447,55,311,57,1216,0.4840465,0.110561464,0.01360376,0.076923077,0.014098442,0.300766757,3109,237,642,307,292,1102,529,0.076230299,0.206497266,0.098745577,0.093920875,0.354454809,0.170151174,189,13,54,67,9,0,46,0.068783069,0.285714286,0.354497354,0.047619048,0,0.243386243
36,Homewood North - Homewood West,neighborhood group,3229,233,2911,0,59,26,0.072158563,0.901517498,0,0.018271911,0.008052028,15,0.004645401,59,0.018271911,790,212,759,670,798,0.244657789,0.065655002,0.235057293,0.20749458,0.247135336,3166,724,148,131,17,0.228679722,0.046746684,0.041377132,0.005369551,97,0.03004026,3222,192,17,0,0.059590317,0.005276226,0,1371,739,292,447,61,386,632,621,11,0.539022611,0.212983224,0.326039387,0.044493071,0.281546317,0.460977389,0.452954048,0.008023341,2046,1371,675,0.670087977,0.329912023,1371,589,782,0.429613421,0.570386579,2467,1239,1239,1126,113,0,1228,0.502229428,0.502229428,0.456424807,0.045804621,0,0.497770572,3180,542,1007,0.170440252,0.316666667,2227,210,1123,519,375,0.094297261,0.504265828,0.233048945,0.168387966,1098,810,202,0,64,4,18,0.737704918,0.183970856,0,0.058287796,0.003642987,0.016393443,1371,528,364,310,64,83,22,0.38512035,0.265499635,0.226112327,0.046681255,0.060539752,0.016046681,235,28,3,137,16,5,46,0.119148936,0.012765957,0.582978723,0.068085106,0.021276596,0.195744681
37,Homewood South,neighborhood,2177,127,1838,0,12,200,0.058337161,0.844281121,0,0.005512173,0.091869545,14,0.006430868,30,0.013780432,754,162,417,455,389,0.346348186,0.074414332,0.191548002,0.209003215,0.178686266,2048,573,77,18,59,0.279785156,0.037597656,0.008789063,0.028808594,34,0.015617823,2142,223,77,0,0.10410831,0.035947712,0,938,453,132,321,75,246,485,477,8,0.482942431,0.140724947,0.342217484,0.079957356,0.262260128,0.517057569,0.508528785,0.008528785,1540,938,602,0.609090909,0.390909091,938,383,555,0.408315565,0.591684435,1449,674,674,572,102,0,775,0.465148378,0.465148378,0.394755003,0.070393375,0,0.534851622,2177,122,791,0.056040423,0.363344051,1261,93,660,308,200,0.073750991,0.523394132,0.244250595,0.158604282,522,367,104,0,41,0,10,0.703065134,0.199233716,0,0.078544061,0,0.019157088,938,481,337,67,8,45,0,0.512793177,0.359275053,0.071428571,0.008528785,0.047974414,0,111,0,2,40,0,0,69,0,0.018018018,0.36036036,0,0,0.621621622
38,Knoxville,neighborhood,4188,1696,1908,267,171,146,0.404966571,0.455587393,0.063753582,0.040830946,0.034861509,0,0,165,0.039398281,1111,525,1308,781,463,0.265281757,0.125358166,0.312320917,0.186485196,0.110553964,4081,1034,64,59,5,0.253369272,0.015682431,0.014457241,0.00122519,397,0.094794651,4188,606,215,0,0.14469914,0.051337154,0,1389,874,426,448,12,436,515,379,136,0.629229662,0.306695464,0.322534197,0.008639309,0.313894888,0.370770338,0.272858171,0.097912167,1775,1389,386,0.782535211,0.217464789,1389,692,697,0.498200144,0.501799856,3272,2291,2291,1969,322,0,981,0.700183374,0.700183374,0.601772616,0.098410758,0,0.299816626,4188,426,938,0.101719198,0.223973257,2552,282,1206,505,559,0.110501567,0.472570533,0.197884013,0.219043887,1857,1127,429,0,210,0,91,0.606892838,0.231017771,0,0.113085622,0,0.04900377,1389,247,572,184,168,218,0,0.177825774,0.411807055,0.132469402,0.120950324,0.156947444,0,207,29,0,143,0,0,35,0.140096618,0,0.690821256,0,0,0.169082126
39,Larimer,neighborhood,1574,303,1191,8,12,60,0.192503177,0.756670902,0.005082592,0.007623888,0.038119441,177,0.112452351,89,0.056543837,375,119,405,319,356,0.238246506,0.075603558,0.257306226,0.202668361,0.226175349,1542,321,60,60,0,0.208171206,0.038910506,0.038910506,0,8,0.005082592,1567,136,27,0,0.086790045,0.017230377,0,596,253,26,227,19,208,343,260,83,0.424496644,0.043624161,0.380872483,0.031879195,0.348993289,0.575503356,0.436241611,0.139261745,812,596,216,0.733990148,0.266009852,596,230,366,0.38590604,0.61409396,1264,579,579,506,73,0,685,0.45806962,0.45806962,0.400316456,0.057753165,0,0.54193038,1448,218,595,0.150552486,0.410911602,1080,194,386,319,181,0.17962963,0.357407407,0.29537037,0.167592593,496,306,112,0,9,37,32,0.616935484,0.225806452,0,0.018145161,0.074596774,0.064516129,596,316,118,49,55,46,12,0.530201342,0.197986577,0.082214765,0.092281879,0.077181208,0.020134228,109,1,6,21,45,0,36,0.009174312,0.055045872,0.19266055,0.412844037,0,0.330275229
40,Lincoln-Lemington-Belmar,neighborhood,4485,737,3620,18,42,68,0.16432553,0.807134894,0.004013378,0.009364548,0.01516165,404,0.090078038,374,0.083389075,1133,398,1072,901,981,0.252619844,0.088740245,0.239018952,0.200891862,0.218729097,4142,831,249,204,45,0.200627716,0.060115886,0.049251569,0.010864317,432,0.09632107,4260,404,161,9,0.094835681,0.037793427,0.002112676,1740,925,203,722,60,662,815,756,59,0.531609195,0.116666667,0.414942529,0.034482759,0.38045977,0.468390805,0.434482759,0.033908046,1963,1740,223,0.88639837,0.11360163,1740,949,791,0.545402299,0.454597701,3455,1675,1675,1502,173,0,1780,0.484804631,0.484804631,0.434732272,0.050072359,0,0.515195369,4157,436,1356,0.104883329,0.326196777,2954,237,1336,712,669,0.080230196,0.452268111,0.241029113,0.22647258,1484,830,383,24,6,0,241,0.559299191,0.258086253,0.016172507,0.004043127,0,0.162398922,1740,867,356,263,86,109,59,0.498275862,0.204597701,0.151149425,0.049425287,0.062643678,0.033908046,406,0,37,87,72,13,197,0,0.091133005,0.214285714,0.177339901,0.032019704,0.485221675
41,Lincoln Place,neighborhood,3272,3061,124,66,15,6,0.935513447,0.037897311,0.020171149,0.004584352,0.001833741,1,0.000305623,15,0.004584352,546,176,876,1001,673,0.166870416,0.053789731,0.267726161,0.305929095,0.205684597,3215,446,73,37,36,0.138724728,0.022706065,0.011508554,0.011197512,76,0.023227384,3250,179,21,0,0.055076923,0.006461538,0,1386,875,616,259,22,237,511,460,51,0.631313131,0.444444444,0.186868687,0.015873016,0.170995671,0.368686869,0.331890332,0.036796537,1570,1386,184,0.882802548,0.117197452,1386,1238,148,0.893217893,0.106782107,2776,1848,1848,1596,252,0,928,0.665706052,0.665706052,0.574927954,0.090778098,0,0.334293948,3264,214,460,0.065563725,0.140931373,2550,125,1058,862,505,0.049019608,0.414901961,0.338039216,0.198039216,1437,1119,69,0,0,24,225,0.778705637,0.048016701,0,0,0.016701461,0.1565762,1386,241,234,186,292,403,30,0.173881674,0.168831169,0.134199134,0.210678211,0.290764791,0.021645022,234,48,0,86,0,0,100,0.205128205,0,0.367521368,0,0,0.427350427
42,Lower Lawrenceville,neighborhood,2448,2001,236,66,50,95,0.817401961,0.096405229,0.026960784,0.020424837,0.03880719,31,0.012663399,67,0.027369281,44,293,1477,323,311,0.017973856,0.119689542,0.603349673,0.131944444,0.127042484,2434,30,380,111,269,0.01232539,0.156121611,0.045603944,0.110517666,137,0.055964052,2448,744,220,29,0.303921569,0.089869281,0.011846405,1422,282,230,52,22,30,1140,646,494,0.198312236,0.161744023,0.036568214,0.015471167,0.021097046,0.801687764,0.454289733,0.347398031,1665,1422,243,0.854054054,0.145945946,1422,603,819,0.424050633,0.575949367,2422,1858,1848,1809,39,10,564,0.7671346,0.76300578,0.746903386,0.016102395,0.004128819,0.2328654,2448,229,356,0.093545752,0.145424837,2111,78,349,233,1451,0.036949313,0.165324491,0.11037423,0.687351966,1812,1048,180,8,114,0,462,0.578366446,0.099337748,0.004415011,0.062913907,0,0.254966887,1422,170,228,175,172,486,191,0.11954993,0.160337553,0.123066104,0.120956399,0.341772152,0.134317862,22,14,0,0,0,0,8,0.636363636,0,0,0,0,0.363636364
43,Manchester-California-Kirkbride,neighborhood group,3011,882,1731,24,10,364,0.292925938,0.574892062,0.007970774,0.003321156,0.12089007,38,0.012620392,10,0.003321156,423,329,1057,834,368,0.140484889,0.109266025,0.351046164,0.276984391,0.122218532,2936,389,249,249,0,0.132493188,0.084809264,0.084809264,0,41,0.013616739,2996,578,175,11,0.192923899,0.058411215,0.003671562,1515,675,451,224,92,132,840,671,169,0.445544554,0.297689769,0.147854785,0.060726073,0.087128713,0.554455446,0.44290429,0.111551155,1799,1515,284,0.842134519,0.157865481,1515,585,930,0.386138614,0.613861386,2609,1834,1834,1706,128,0,775,0.702951322,0.702951322,0.653890379,0.049060943,0,0.297048678,3009,248,487,0.082419408,0.16184779,2259,109,524,823,803,0.048251439,0.231961045,0.364320496,0.355467021,1702,991,103,35,242,18,313,0.582256169,0.060517039,0.020564042,0.142185664,0.010575793,0.183901293,1515,408,255,166,104,472,110,0.269306931,0.168316832,0.109570957,0.068646865,0.311551155,0.072607261,111,17,13,62,3,0,16,0.153153153,0.117117117,0.558558559,0.027027027,0,0.144144144
44,Marshall-Shadeland,neighborhood,4365,1918,1905,0,212,330,0.439404353,0.436426117,0,0.048568156,0.075601375,81,0.018556701,176,0.040320733,613,399,1227,1491,635,0.140435281,0.091408935,0.281099656,0.341580756,0.145475372,4305,507,180,180,0,0.117770035,0.041811847,0.041811847,0,400,0.09163803,4345,744,362,0,0.1712313,0.083314154,0,2003,1012,470,542,63,479,991,866,125,0.505242137,0.234648028,0.270594109,0.031452821,0.239141288,0.494757863,0.432351473,0.06240639,2273,2003,270,0.881214254,0.118785746,2003,977,1026,0.487768347,0.512231653,3752,2248,2248,2184,64,0,1504,0.599147122,0.599147122,0.582089552,0.017057569,0,0.400852878,4310,478,1014,0.110904872,0.235266821,3353,511,1455,925,462,0.152400835,0.433939755,0.275872353,0.137787056,2134,1167,588,0,57,0,322,0.546860356,0.275538894,0,0.026710403,0,0.150890347,2003,637,499,280,236,321,30,0.318022966,0.249126311,0.139790315,0.117823265,0.160259611,0.014977534,214,19,9,107,20,0,59,0.088785047,0.042056075,0.5,0.093457944,0,0.275700935
45,Middle Hill,neighborhood,1561,71,1451,0,0,39,0.045483664,0.929532351,0,0,0.024983985,26,0.01665599,3,0.001921845,443,46,458,269,345,0.283792441,0.02946829,0.293401666,0.172325432,0.221012172,1444,291,50,50,0,0.201523546,0.034626039,0.034626039,0,13,0.008327995,1561,316,253,21,0.202434337,0.162075593,0.013452915,909,380,43,337,12,325,529,517,12,0.418041804,0.04730473,0.370737074,0.01320132,0.357535754,0.581958196,0.568756876,0.01320132,1055,909,146,0.861611374,0.138388626,909,165,744,0.181518152,0.818481848,1136,548,548,504,44,0,588,0.482394366,0.482394366,0.443661972,0.038732394,0,0.517605634,1556,324,609,0.208226221,0.391388175,1072,175,352,470,75,0.163246269,0.328358209,0.438432836,0.069962687,494,237,141,0,96,0,20,0.479757085,0.285425101,0,0.194331984,0,0.04048583,909,391,292,174,20,20,12,0.430143014,0.321232123,0.191419142,0.0220022,0.0220022,0.01320132,23,8,0,9,0,6,0,0.347826087,0,0.391304348,0,0.260869565,0
