route_id,route_name,avg_daily_riders,pct_corridor_no_car,cut_type,neighborhoods_served,is_persona_a_route,is_persona_b_route
053L,53L - HOMESTEAD PARK LIMITED,748.5,22.6,eliminated,"Lincoln Place, Squirrel Hill South, Greenfield, Central Business District, Hazelwood, Bluff",false,false
058,58 - GREENFIELD,410.8,40.8,eliminated,"Greenfield, Hazelwood, South Oakland, Central Oakland, North Oakland, West Oakland, Central Business District, Bluff, Squirrel Hill North",false,false
065,65 - SQUIRREL HILL,101.5,47.9,eliminated,"Squirrel Hill South, Greenfield, South Oakland, Central Business District, Hazelwood, Bluff, Central Oakland",false,false
071,71 - EDGEWOOD TOWN CENTER,50.1,28.0,eliminated,"Swisshelm Park, Point Breeze, Regent Square",false,false
G3,G3 - MOON FLYER,191.3,28.0,eliminated,"Central Business District, South Shore, Oakwood, Sheraden, Elliott",false,false
G31,G31 - BRIDGEVILLE FLYER,219.6,24.3,eliminated,"Central Business District, South Shore, Oakwood, Sheraden, Elliott",false,false
O1,O1 - ROSS FLYER,294.8,45.3,eliminated,"Central Business District, Crawford-Roberts",false,false
O12,O12 - MCKNIGHT FLYER,394.3,40.2,eliminated,"Central Business District, Crawford-Roberts, Summer Hill",false,false
O5,O5 - THOMPSON RUN FLYER VIA 279,44.2,28.0,eliminated,"Summer Hill, Central Business District, Crawford-Roberts",false,false
P10,P10 - ALLEGHENY VALLEY FLYER,221.3,40.2,eliminated,"Central Business District, Larimer, Homewood West, Lincoln-Lemington-Belmar, Shadyside, Highland Park, Polish Hill",false,false
P12,P12 - HOLIDAY PARK FLYER,292.6,28.0,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P13,P13 - MOUNT ROYAL FLYER,73.6,31.1,eliminated,"Central Business District, North Shore",false,false
P16,P16 - PENN HILLS FLYER,321.8,29.6,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P17,P17 - LINCOLN PARK FLYER,348.1,22.1,eliminated,"Lincoln-Lemington-Belmar, Larimer, Homewood West, Homewood North, Shadyside, Central Business District, Polish Hill, East Hills",false,false
P67,P67 - MONROEVILLE FLYER,141.0,28.0,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P69,P69 - TRAFFORD FLYER,170.3,28.0,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P7,P7 - MCKEESPORT FLYER,276.5,28.0,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P71,P71 - SWISSVALE FLYER,151.0,22.6,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze, Point Breeze North, Polish Hill, Regent Square, Swisshelm Park",false,false
P76,P76 - LINCOLN HIGHWAY FLYER,300.8,28.0,eliminated,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
SLVR,SLVR - Libary via Overbrook,3531.5,23.2,eliminated,"Central Business District, Brookline, Bon Air, Mount Washington, Beltzhoover, Carrick, Overbrook, North Shore, South Shore",false,false
Y1,Y1 - LARGE FLYER,111.6,28.0,eliminated,"Brookline, Overbrook, Mount Washington, Central Business District, South Shore",false,false
