finding_id,route_code,route_label,route_kind,reduction_tier,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-055,055,55,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",55 - GLASSPORT,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",No stop-based neighborhood mapping in neighborhood_route_service.json; county proxy.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,1000.1,690.2,767.9,-31.0,-23.2
FIND-20260324-056,056,56,non_commuter_bus,major,Major frequency reduction; step 6,56 - LINCOLN PLACE,"Hazelwood, Lincoln Place, Hays, New Homestead, Central Business District, South Oakland, Bluff, Glen Hazel, South Side Flats, West Oakland, Crawford-Roberts, Greenfield","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,28182,28182,13.7,3861,77.1,21728,4.2,1184,3.0,845,27.8,3103,28.4,6317,50.9,7056,10.3,1428,1705.2,801.1,1008.1,-53.0,-40.9
FIND-20260324-057,057,57,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",57 - HAZELWOOD,"Hazelwood, Glen Hazel, Central Business District, South Side Flats, South Oakland, Bluff, Squirrel Hill South, Greenfield, West Oakland, Crawford-Roberts","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,39981,39981,13.8,5517,73.1,29226,6.3,2519,3.9,1559,29.9,4906,28.8,9677,45.7,9149,12.3,2462,1257.7,603.9,736.5,-52.0,-41.4
FIND-20260324-059,059,59,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",59 - MON VALLEY,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",No stop-based neighborhood mapping in neighborhood_route_service.json; county proxy.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,2109.0,1597.6,1930.6,-24.2,-8.5
FIND-20260324-060,060,60,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",60 - MCKEESPORT - WALNUT,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",No stop-based neighborhood mapping in neighborhood_route_service.json; county proxy.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,545.4,290.1,414.4,-46.8,-24.0
FIND-20260324-061A,061A,61A,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",61A - NORTH BRADDOCK,"Squirrel Hill North, Bluff, Squirrel Hill South, Crawford-Roberts, West Oakland, Central Oakland, Terrace Village, North Oakland, South Oakland, Point Breeze, Central Business District, Regent Square, Shadyside","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,66579,66579,10.2,6791,70.9,47205,12.5,8322,4.1,2730,27.2,6696,36.0,17787,33.3,10588,13.4,4261,4896.5,2280.5,4045.4,-53.4,-17.4
FIND-20260324-061B,061B,61B,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",61B - BRADDOCK-SWISSVALE,"Squirrel Hill South, Squirrel Hill North, Bluff, Crawford-Roberts, West Oakland, Central Oakland, Terrace Village, North Oakland, South Oakland, Point Breeze, Central Business District, Regent Square, Shadyside","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,66579,66579,10.2,6791,70.9,47205,12.5,8322,4.1,2730,27.2,6696,36.0,17787,33.3,10588,13.4,4261,4371.5,1896.9,3388.4,-56.6,-22.5
FIND-20260324-061C,061C,61C,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",61C - MCKEESPORT-HOMESTEAD,"Squirrel Hill South, Bluff, Squirrel Hill North, Crawford-Roberts, West Oakland, Central Oakland, Greenfield, Terrace Village, North Oakland, South Oakland, Hazelwood, Central Business District, Shadyside, Glen Hazel","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,73923,73923,10.0,7392,72.1,53298,11.3,8353,4.3,3179,27.8,7912,32.8,18614,36.5,13090,14.0,5021,6281.4,2854.8,4872.6,-54.6,-22.4
FIND-20260324-061D,061D,61D,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",61D - MURRAY,"Squirrel Hill South, Squirrel Hill North, Central Oakland, Greenfield, West Oakland, North Oakland, South Oakland, Hazelwood, Terrace Village, Bluff, Shadyside, Crawford-Roberts, Glen Hazel","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,73923,73923,10.0,7392,72.1,53298,11.3,8353,4.3,3179,27.8,7912,32.8,18614,36.5,13090,14.0,5021,5489.8,2407.1,3118.2,-56.2,-43.2
FIND-20260324-064,064,64,non_commuter_bus,major,Major frequency reduction; step 6,64 - LAWRENCEVILLE - WATERFRONT,"Bloomfield, Squirrel Hill North, Squirrel Hill South, Shadyside, Central Lawrenceville, Greenfield, Point Breeze, Lower Lawrenceville, Friendship, Garfield, Hazelwood, East Liberty, Glen Hazel","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,76762,76762,14.7,11284,68.6,52659,9.3,7139,4.5,3454,33.9,12620,14.3,10185,48.6,21515,16.7,7393,1795.7,1065.7,1586.4,-40.7,-11.7
