trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4380020,56,4,INBOUND-DOWNTOWN,,1,56 -326,shp-56-01,1,1
438090,61A,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,59 -177,shp-61A-54,1,1
4381020,82,4,OUTBOUND-LINCOLN VIA CENTRE AVENUE,,0,82 -624,shp-82-51,1,1
4382020,55,4,OUTBOUND-WEST MIFFLIN,,0,51 -258,shp-55-51,1,1
4383070,61A,3,INBOUND-DOWNTOWN,,1,61A-249,shp-61A-03,1,1
4384010,51,2,INBOUND-DOWNTOWN,,1,61A-182,shp-51-02,1,1
4385090,71C,1,OUTBOUND-WILKINSBURG,,0,28X-095,shp-71C-51,1,1
4386020,16,4,INBOUND-DOWNTOWN,,1,16 -088,shp-16-01,1,1
4387010,61D,2,INBOUND-OAKLAND,,1,51 -125,shp-61D-02,1,1
4388090,71A,1,INBOUND-OAKLAND,,1,71A-239,shp-71A-01,1,1
4389070,56,3,INBOUND-DOWNTOWN,,1,59 -218,shp-56-01,1,1
4390010,51,2,INBOUND-DOWNTOWN,,1,60 -181,shp-51-03,1,1
439020,61A,4,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-382,shp-61A-54,1,1
4391020,P1,4,INBOUND-DOWNTOWN,,1,P1  -762,shp-P1-02,1,1
4392090,58,1,OUTBOUND-CARNEGIE MELLON,,0,77 -285,shp-58-52,1,1
4393020,74,4,INBOUND-EAST LIBERTY,,1,74 -577,shp-74-02,1,1
4394010,17,2,INBOUND-DOWNTOWN,,1,14 -041,shp-17-02,1,1
4395070,54,3,OUTBOUND-SOUTH HILLS JUNCTION,,0,54 -180,shp-54-56,1,1
4396070,51,3,INBOUND-DOWNTOWN,,1,81 -395,shp-51-03,1,1
4397020,54,4,INBOUND-ALLEGHENY STATION,,1,54 -312,shp-54-05,1,1
4398090,61D,1,INBOUND-OAKLAND,,1,59 -170,shp-61D-02,1,1
4399020,Y46,4,INBOUND-DOWNTOWN,,1,64 -466,shp-Y46-03,1,1
4400020,26,4,INBOUND-DOWNTOWN,,1,21 -128,shp-26-01,1,1
440020,26,4,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,26 -159,shp-26-51,1,1
4401090,29,1,OUTBOUND-CCAC WEST,,0,26 -079,shp-29-51,1,1
4402020,24,4,INBOUND-DOWNTOWN,,1,24 -145,shp-24-01,1,1
4403070,61C,3,INBOUND-DOWNTOWN,,1,61A-257,shp-61C-02,1,1
4404090,44,1,OUTBOUND-ST CLAIR,,0,43 -115,shp-44-54,1,1
4405020,51,4,OUTBOUND-WEST MIFFLIN,,0,Y1  -855,shp-51-53,1,1
4406010,26,2,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,41 -110,shp-26-51,1,1
44070,57,3,OUTBOUND-WATERFRONT,,0,64 -307,shp-57-51,1,1
4407070,61B,3,INBOUND-DOWNTOWN,,1,61B-266,shp-61B-03,1,1
4408090,91,1,OUTBOUND-VA HOSPITAL,,0,91 -324,shp-91-54,1,1
4409010,83,2,INBOUND-DOWNTOWN,,1,55 -154,shp-83-02,1,1
4410070,79,3,OUTBOUND-WILKINSBURG,,0,88 -427,shp-79-53,1,1
441020,71C,4,OUTBOUND-WILKINSBURG,,0,P1  -756,shp-71C-51,1,1
4411010,64,2,OUTBOUND-WATERFRONT,,0,51 -125,shp-64-52,1,1
4412020,69,4,OUTBOUND-FORBES HOSPITAL,,0,69 -499,shp-69-54,1,1
4413020,P1,4,INBOUND-DOWNTOWN,,1,P1  -767,shp-P1-02,1,1
4414020,P68,4,INBOUND-DOWNTOWN,,1,P69 -831,shp-P68-01,1,1
4415020,74,4,OUTBOUND-BEECHWOOD-TILBURY,,0,88 -668,shp-74-52,1,1
4416020,P1,4,INBOUND-DOWNTOWN,,1,P1  -764,shp-P1-02,1,1
4417020,Y47,4,OUTBOUND-CENTURY SQUARE,,0,81 -615,shp-Y47-03,1,1
4418020,38,4,OUTBOUND-MT LEBANON STATION,,0,38 -205,shp-38-52,1,1
4419020,28X,4,INBOUND-DOWNTOWN AND OAKLAND,,1,28X-172,shp-28X-02,1,1
4420090,77,1,OUTBOUND-ALCOMA,,0,77 -283,shp-77-54,1,1
442020,82,4,INBOUND-DOWNTOWN,,1,82 -628,shp-82-02,1,1
4421020,G2,4,INBOUND-DOWNTOWN,,1,G2  -724,shp-G2-02,1,1
4422020,P71,4,INBOUND-DOWNTOWN,,1,71C-542,shp-P71-01,1,1
4423020,39,4,INBOUND-DOWNTOWN,,1,39 -214,shp-39-02,1,1
4424020,17,4,INBOUND-DOWNTOWN,,1,8 -046,shp-17-02,1,1
4425090,61D,1,OUTBOUND-WATERFRONT,,0,51 -125,shp-61D-52,1,1
4426010,61B,2,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61B-204,shp-61B-54,1,1
4427020,59,4,OUTBOUND-NORTH VERSAILLES,,0,52L-289,shp-59-52,1,1
4428070,29,3,INBOUND-DOWNTOWN,,1,26 -095,shp-29-02,1,1
4429020,71C,4,OUTBOUND-WILKINSBURG,,0,71C-545,shp-71C-51,1,1
4430020,61C,4,INBOUND-DOWNTOWN,,1,61C-412,shp-61C-02,1,1
443070,Y46,3,OUTBOUND-ELIZABETH,,0,Y46 -472,shp-Y46-53,1,1
4431020,75,4,INBOUND-SOUTH SIDE WORKS,,1,75 -589,shp-75-04,1,1
4432020,6,4,OUTBOUND-SUMMER HILL,,0,91 -689,shp-6-52,1,1
4433010,G2,2,OUTBOUND-CARNEGIE,,0,24 -069,shp-G2-52,1,1
4434090,71C,1,INBOUND-OAKLAND,,1,71C-257,shp-71C-01,1,1
4435010,87,2,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,28X-096,shp-87-54,1,1
4436020,51,4,INBOUND-DOWNTOWN,,1,51 -256,shp-51-02,1,1
4437090,88,1,INBOUND-DOWNTOWN,,1,89 -319,shp-88-01,1,1
4438010,57,2,INBOUND-DOWNTOWN,,1,61A-184,shp-57-01,1,1
4439010,57,2,INBOUND-DOWNTOWN,,1,61A-188,shp-57-01,1,1
4440070,71B,3,INBOUND-DOWNTOWN,,1,P1  -450,shp-71B-02,1,1
444010,67,2,OUTBOUND-FORBES HOSPITAL,,0,88 -312,shp-67-54,1,1
4441090,16,1,OUTBOUND-AVALON LOOP,,0,17 -055,shp-16-52,1,1
4442010,28X,2,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,28X-091,shp-28X-52,1,1
4443010,G2,2,INBOUND-DOWNTOWN,,1,24 -071,shp-G2-02,1,1
4444020,22,4,INBOUND-DOWNTOWN,,1,20 -126,shp-22-02,1,1
4445010,Y46,2,INBOUND-DOWNTOWN,,1,Y46 -356,shp-Y46-04,1,1
4446070,71C,3,INBOUND-OAKLAND,,1,P1  -451,shp-71C-01,1,1
4447020,P3,4,INBOUND-OAKLAND,,1,P3  -804,shp-P3-02,1,1
4448070,27,3,INBOUND-DOWNTOWN,,1,27 -102,shp-27-01,1,1
4449020,91,4,INBOUND-DOWNTOWN,,1,91 -685,shp-91-01,1,1
4450070,71B,3,OUTBOUND-HIGHLAND PARK,,0,71B-345,shp-71B-52,1,1
445070,71C,3,INBOUND-OAKLAND,,1,71D-361,shp-71C-01,1,1
4451020,P1,4,OUTBOUND-SWISSVALE,,0,28X-173,shp-P1-52,1,1
4452020,15,4,OUTBOUND-SUMMER HILL,,0,15 -080,shp-15-52,1,1
4453020,56,4,INBOUND-DOWNTOWN,,1,56 -332,shp-56-01,1,1
4454090,16,1,OUTBOUND-AVALON LOOP,,0,91 -329,shp-16-52,1,1
4455090,71C,1,OUTBOUND-WILKINSBURG,,0,28X-095,shp-71C-51,1,1
4456020,8,4,INBOUND-DOWNTOWN,,1,17 -101,shp-8-01,1,1
4457090,61A,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-182,shp-61A-54,1,1
4458070,71A,3,INBOUND-OAKLAND,,1,71A-332,shp-71A-01,1,1
4459010,G2,2,INBOUND-DOWNTOWN,,1,G2  -338,shp-G2-02,1,1
4460020,17,4,INBOUND-DOWNTOWN,,1,15 -079,shp-17-02,1,1
446020,19L,4,INBOUND-DOWNTOWN,,1,8 -038,shp-19L-01,1,1
4461070,81,3,INBOUND-DOWNTOWN,,1,81 -395,shp-81-01,1,1
4462090,61D,1,INBOUND-OAKLAND,,1,55 -153,shp-61D-02,1,1
4463020,55,4,OUTBOUND-WEST MIFFLIN,,0,55 -322,shp-55-51,1,1
4464070,61C,3,OUTBOUND-MCKEESPORT,,0,61C-280,shp-61C-52,1,1
4465010,71B,2,INBOUND-DOWNTOWN,,1,71B-249,shp-71B-02,1,1
4466010,71C,2,OUTBOUND-WILKINSBURG,,0,77 -283,shp-71C-51,1,1
4467010,91,2,OUTBOUND-VA HOSPITAL,,0,54 -144,shp-91-54,1,1
4468070,22,3,INBOUND-DOWNTOWN,,1,20 -077,shp-22-02,1,1
4469020,P16,4,OUTBOUND-UNITY-TRESTLE RD,,0,P16 -799,shp-P16-54,1,1
4470070,71C,3,OUTBOUND-WILKINSBURG,,0,71D-361,shp-71C-51,1,1
447010,89,2,OUTBOUND-GARFIELD COMMONS,,0,89 -317,shp-89-51,1,1
4471090,61D,1,INBOUND-OAKLAND,,1,61B-192,shp-61D-02,1,1
4472090,56,1,INBOUND-DOWNTOWN,,1,56 -165,shp-56-01,1,1
4473070,12,3,OUTBOUND-MCCANDLESS PARK AND RIDE,,0,6 -014,shp-12-54,1,1
4474070,61D,3,INBOUND-OAKLAND,,1,59 -226,shp-61D-02,1,1
4475070,15,3,INBOUND-DOWNTOWN,,1,6 -012,shp-15-01,1,1
4476090,6,1,OUTBOUND-SUMMER HILL,,0,6 -011,shp-6-52,1,1
4477010,16,2,INBOUND-DOWNTOWN,,1,16 -045,shp-16-01,1,1
4478090,71C,1,OUTBOUND-WILKINSBURG,,0,71C-263,shp-71C-51,1,1
4479010,91,2,OUTBOUND-VA HOSPITAL,,0,91 -324,shp-91-54,1,1
4480010,61C,2,INBOUND-DOWNTOWN,,1,61C-210,shp-61C-02,1,1
448090,6,1,INBOUND-DOWNTOWN,,1,14 -038,shp-6-01,1,1
4481090,6,1,OUTBOUND-SUMMER HILL,,0,12 -021,shp-6-52,1,1
4482090,57,1,INBOUND-DOWNTOWN,,1,61A-185,shp-57-01,1,1
4483090,26,1,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,41 -111,shp-26-51,1,1
4484070,61C,3,OUTBOUND-MCKEESPORT,,0,61C-289,shp-61C-52,1,1
4485020,27,4,INBOUND-DOWNTOWN,,1,38 -206,shp-27-01,1,1
4486010,81,2,OUTBOUND-WHARTON SQUARE,,0,81 -288,shp-81-52,1,1
4487070,93,3,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,Y47 -474,shp-93-52,1,1
4488020,36,4,INBOUND-DOWNTOWN,,1,36 -200,shp-36-01,1,1
4489090,31,1,INBOUND-DOWNTOWN,,1,31 -100,shp-31-02,1,1
4490010,G2,2,OUTBOUND-CARNEGIE,,0,G2  -337,shp-G2-52,1,1
449070,41,3,OUTBOUND-BRIDGEVILLE,,0,48 -143,shp-41-52,1,1
4491020,28X,4,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,77 -598,shp-28X-52,1,1
4492070,17,3,INBOUND-DOWNTOWN,,1,17 -073,shp-17-02,1,1
4493010,79,2,INBOUND-LINCOLN LOOP,,1,86 -306,shp-79-01,1,1
4494090,88,1,OUTBOUND-BAKERY SQUARE,,0,69 -235,shp-88-52,1,1
4495020,44,4,OUTBOUND-NORTH BALDWIN,,0,31 -195,shp-44-53,1,1
4496010,G2,2,OUTBOUND-CARNEGIE,,0,31 -100,shp-G2-52,1,1
4497020,61A,4,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-363,shp-61A-54,1,1
4498020,16,4,OUTBOUND-AVALON LOOP,,0,16 -094,shp-16-52,1,1
4499070,57,3,INBOUND-DOWNTOWN,,1,51 -152,shp-57-01,1,1
4500070,57,3,INBOUND-DOWNTOWN,,1,64 -307,shp-57-01,1,1
450090,61C,1,OUTBOUND-MCKEESPORT,,0,61C-210,shp-61C-52,1,1
4501090,61B,1,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61B-200,shp-61B-54,1,1
4502070,91,3,INBOUND-DOWNTOWN,,1,91 -441,shp-91-02,1,1
4503020,51,4,INBOUND-DOWNTOWN,,1,51 -260,shp-51-03,1,1
4504010,61C,2,OUTBOUND-MCKEESPORT,,0,61A-190,shp-61C-52,1,1
4505020,Y49,4,INBOUND-DOWNTOWN,,1,Y49 -879,shp-Y49-04,1,1
4506020,Y49,4,OUTBOUND-CENTURY SQUARE,,0,64 -475,shp-Y49-54,1,1
4507020,1,4,OUTBOUND-TARENTUM,,0,2 -017,shp-1-02,1,1
4508070,54,3,INBOUND-ALLEGHENY STATION,,1,54 -177,shp-54-05,1,1
